"run-number","self_weight","percieved_consensus_len","step","abs_global_vs_popular_vote"
"6","0","1","100","0.6050871208228211"
"7","0","1","100","0.1527938610193361"
"2","0","1","100","0.5498584466020527"
"8","0","1","100","0.22340826775656825"
"5","0","1","100","0.4366697990558656"
"4","0","1","100","0.13028497315740684"
"3","0","1","100","0.6854106236577207"
"12","0","1","100","0.697631193372778"
"9","0","1","100","0.4628826915758823"
"10","0","1","100","0.10208120069263193"
"11","0","1","100","0.615170687512644"
"14","0","1","100","0.5504266348588465"
"13","0","1","100","0.3327110563157006"
"15","0","1","100","0.6007335225051411"
"16","0","1","100","0.5884392625294019"
"20","0","1","100","0.1070015181098737"
"18","0","1","100","0.3212173686278584"
"17","0","1","100","0.08589245177184329"
"19","0","1","100","0.49480205104567615"
"26","0","1","100","0.5365847926716503"
"21","0","1","100","0.37682700359885235"
"23","0","1","100","0.5418160208459165"
"22","0","1","100","0.049818618354200615"
"24","0","1","100","0.717973252756526"
"27","0","1","100","0.4529717794267802"
"25","0","1","100","0.5369118043676893"
"28","0","1","100","-0.02308203852217843"
"30","0","1","100","0.1866042895559777"
"29","0","1","100","0.5177428923995466"
"34","0","2","100","0.533888985236347"
"31","0","2","100","0.33205413457776217"
"32","0","2","100","0.39369223028475364"
"33","0","2","100","0.39085257698345033"
"36","0","2","100","0.23336062354624837"
"37","0","2","100","-0.11454006763810837"
"35","0","2","100","0.830829644099078"
"39","0","2","100","0.10796880636456327"
"40","0","2","100","0.11255861072680601"
"38","0","2","100","0.21792683119030937"
"41","0","2","100","0.09629389524677137"
"44","0","2","100","0.6613265811279667"
"43","0","2","100","0.288401602087236"
"42","0","2","100","0.6040313526294797"
"45","0","2","100","0.14111329305333312"
"47","0","2","100","0.6805653675163854"
"46","0","2","100","0.23828934656589565"
"48","0","2","100","0.03798607475414738"
"50","0","2","100","0.23136384157601905"
"51","0","2","100","0.5422415845412278"
"49","0","2","100","0.1370827236472585"
"52","0","2","100","0.1268247490831657"
"54","0","2","100","-0.029191333560221237"
"53","0","2","100","0.019192328086687412"
"55","0","2","100","0.12806869800828044"
"56","0","2","100","-0.014713837721790253"
"57","0","2","100","0.1295609706557288"
"59","0","2","100","0.09220439504219059"
"58","0","2","100","0.3734212083048049"
"60","0","2","100","0.27669483492601304"
"61","0","5","100","0.1988852045527495"
"62","0","5","100","0.31787532587240586"
"65","0","5","100","0.1736180216379426"
"63","0","5","100","0.15152750585280014"
"64","0","5","100","0.09273503049368212"
"67","0","5","100","0.021898325373048828"
"66","0","5","100","0.10312867005740442"
"68","0","5","100","0.3708457164244222"
"69","0","5","100","0.10190332649362693"
"70","0","5","100","-0.04150808987931894"
"71","0","5","100","0.1552900469203704"
"72","0","5","100","0.10891399776945752"
